trail_id,name,city,region_name,length_km,ascent,descent,deepest_point,highest_point,unit,duration_minutes,difficulty,season,route_type,aktivitat,angebot,thema
929,Val d&#8217;Uina: S-charl – Sesvennahütte – Schlinigpass – Sur En,Graubünden,Scuol,23.8,1205,1890,1127,2821,m,475,T3,"['Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['(SAC-)Hütten', 'Unterkunft', 'Verpflegung', 'Alp-Beizli']","['Pass', 'Panorama', 'Schlucht', 'Mehrtagestour']"
927,Val Sinestra: Sent – Hotel Val Sinestra – Zuort – Griosch – Vnà,Graubünden,Unterengadin,16.6,616,427,1430,1842,m,275,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli']","['Schlucht', 'Tal']"
925,Gelmersee – Räterichsbodensee – Grimsel Hospiz / Grimselsee,Bern,Haslital,7.3,479,372,1569,1959,m,150,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung']","['Panorama', 'See', 'Bergsee']"
923,Diavolezza – Munt Pers (Pontresina / Bernina),Graubünden,Oberengadin,3.8,299,299,2969,3206,m,90,T2,"['Jul', 'Aug', 'Sep', 'Okt']",Rundtour,['Wandern'],"['Unterkunft', 'Verpflegung']","['Gipfel', 'Panorama', 'Höhenweg']"
921,Piz Mundaun (Val Lumnezia – Bündner Rigi – Hitzeggen),Graubünden,,12.4,889,890,1354,2109,m,270,T2,"['Jul', 'Aug', 'Sep', 'Okt']",Rundtour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli']","['Gipfel', 'Panorama', 'Gratweg', 'Top-Touren']"
919,"Lac de Joux (Vallée de Joux), Le Pont – Le Sentier",Westschweiz,Waadt,12.4,173,168,1005,1093,m,185,T1,"['Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Feuerstelle']","['Familie', 'Panorama', 'See', 'Flachwandern', 'Schiff', 'Bergsee']"
917,Braunwald – Oberblegisee – Brunnenberg (Luchsingen),Ostschweiz,Glarnerland,9.1,379,538,1095,1491,m,160,T1,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli', 'Feuerstelle']","['Familie', 'See', 'Bergsee']"
915,Schwarzsee – Euschelspass – Jaun,Westschweiz,Fribourg,12.2,675,706,1016,1567,m,240,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli', 'Alp-BnB', 'Hofladen']","['Pass', 'Panorama', 'Bergsee']"
913,"Zügenschlucht, Davos Monstein – Davos Wiesen – Filisur",Graubünden,Davos,10.3,282,549,1031,1347,m,170,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Feuerstelle']","['Familie', 'Fluss', 'Themenweg', 'Schlucht']"
911,"Jöriseen (Davos, Flüelapass)",Graubünden,Davos,11,866,866,2208,2787,m,250,T3,"['Jul', 'Aug', 'Sep', 'Okt']",Rundtour,['Wandern'],[],"['Pass', 'See', 'Bergsee']"
909,Arosa – Medergen – Langwies (Schanfigg),Graubünden,Arosa,16.7,609,1028,1319,2084,m,300,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli', 'Alp-BnB']",['Panorama']
907,"Maderanertal, Bristen – Bristen",Zentralschweiz,Urnerland,12.1,592,592,830,1380,m,220,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",Rundtour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli', 'Feuerstelle', 'Hofladen']","['Fluss', 'Panorama', 'See']"
